DateServed,852-2004,1099-2009,853-2004,2996-2013,1069-2009,999-2001,2952-2013,142-2011,178-2002,1724-2003,2073-2005,854-2004,931-2011,1774-2002,882-2004,2075-2005
2016-01,105,31,27,8,4,1,4,0,1,1,1,0,0,0,0,0
2016-02,111,19,25,3,0,7,0,6,0,1,1,0,0,1,0,0
2016-03,128,22,10,9,3,4,3,1,0,0,2,0,0,0,0,0
2016-04,120,29,23,6,5,5,0,1,3,1,1,0,0,0,0,0
2016-05,115,11,23,5,6,1,0,5,1,0,1,2,0,0,0,0
2016-06,129,27,19,23,2,1,4,1,0,1,1,0,2,0,0,0
2016-07,108,32,20,27,3,2,4,1,2,2,0,1,0,0,0,0
2016-08,133,23,37,40,4,3,1,2,1,1,0,2,0,0,0,0
2016-09,123,34,22,32,4,2,2,1,2,0,1,0,0,0,0,0
2016-10,98,20,24,42,4,2,1,4,0,1,0,0,1,0,0,0
2016-11,138,23,39,91,3,1,7,2,1,0,2,0,0,0,0,0
2016-12,104,17,27,67,0,3,4,0,0,0,1,0,0,0,0,0
