DateServed,ID852_2004,ID1099_2009,ID853_2004,ID2996_2013,ID1069_2009,ID999_2001,ID2952_2013,ID142_2011,ID178_2002,ID1724_2003,ID2073_2005,ID854_2004,ID931_2011,ID1774_2002,ID882_2004,ID2075_2005
2018-01,215,9,38,0,14,1,0,4,2,0,4,1,1,0,0,0
2018-02,163,16,52,0,13,1,0,9,2,0,1,1,1,0,0,0
2018-03,256,24,59,0,9,0,0,6,14,0,5,0,1,0,1,0
2018-04,155,15,52,0,11,3,0,9,4,0,1,1,0,0,1,0
2018-05,204,22,74,0,13,6,0,3,7,0,1,0,1,0,0,0
2018-06,228,14,64,0,14,11,0,8,14,0,1,0,6,0,0,0
2018-07,205,38,66,0,12,3,0,10,18,0,5,0,11,0,0,0
2018-08,210,48,93,0,2,5,0,4,17,0,1,0,15,0,1,0
2018-09,235,15,83,0,10,4,0,11,23,0,3,0,17,0,1,0
2018-10,218,29,68,0,11,4,0,8,9,0,3,1,8,0,1,0
2018-11,254,33,56,0,5,1,0,10,7,0,2,2,6,0,0,0
2018-12,146,22,33,0,6,0,0,6,2,0,0,1,2,0,0,0
